04,413,Verkefnasjóður sjávarútvegsins
04,415,Sjóður til síldarrannsókna
04,417,Rannsóknasjóður til að auka verðmæti sjávarfangs
04,421,Bygging rannsóknastofnana sjávarútvegsins
04,423,Skrifstofa rannsóknastofnana atvinnuveganna
04,481,Rannsóknir háskóla í þágu landbúnaðar
04,483,Landgræðsla og skógrækt í þágu landbúnaðar
04,487,Hagþjónusta landbúnaðarins
04,801,Greiðslur vegna mjólkurframleiðslu
04,805,Greiðslur vegna sauðfjárframleiðslu
04,807,Greiðslur vegna grænmetisframleiðslu
04,811,Bændasamtök Íslands
04,818,Búnaðarsjóður
04,821,Framleiðnisjóður landbúnaðarins
04,827,Fóðursjóður
04,828,Garðávaxtasjóður
04,831,Jarðasjóður og Jarðeignir ríkisins
04,843,Fiskræktarsjóður
04,851,Greiðslur vegna riðuveiki
04,891,Sérstakar greiðslur í landbúnaði
06,101,Dóms- og kirkjumálaráðuneyti, aðalskrifstofa
06,102,Stjórnartíðindi
06,103,Lagasafn
06,106,Þjóðskrá
06,111,Kosningar
06,190,Ýmis verkefni
06,199,Ráðstöfunarfé
06,201,Hæstiréttur
06,210,Héraðsdómstólar
06,231,Málskostnaður í opinberum málum
06,232,Opinber réttaraðstoð
06,235,Bætur brotaþola
06,251,Persónuvernd
06,300,Héraðssaksóknari
06,301,Ríkissaksóknari
06,303,Ríkislögreglustjóri
06,305,Lögregluskóli ríkisins
06,309,Sérstakur saksóknari samkvæmt lögum nr. 135/2008
06,310,Lögreglustjórinn á höfuðborgarsvæðinu
06,312,Lögreglustjórinn á Suðurnesjum
06,325,Samræmd neyðarsvörun
06,341,Áfengis- og fíkniefnamál
06,390,Ýmis löggæslu- og öryggismál
06,391,Húsnæði löggæslustofnana
06,395,Landhelgisgæsla Íslands
06,396,Landhelgissjóður Íslands
06,397,Schengen-samstarf
06,398,Útlendingastofnun
06,411,Sýslumaðurinn í Reykjavík
06,412,Sýslumaðurinn á Akranesi
06,413,Sýslumaðurinn í Borgarnesi
06,414,Sýslumaður Snæfellinga
06,415,Sýslumaðurinn í Búðardal
06,416,Sýslumaðurinn á Patreksfirði
06,417,Sýslumaðurinn í Bolungarvík
06,418,Sýslumaðurinn á Ísafirði
06,419,Sýslumaðurinn á Hólmavík
06,420,Sýslumaðurinn á Blönduósi
06,421,Sýslumaðurinn á Sauðárkróki
06,422,Sýslumaðurinn á Siglufirði
06,424,Sýslumaðurinn á Akureyri
